question,answer,source_page
What is the name of the financial services provider mentioned?,Cholamandalam Investment and Finance Company Ltd (Chola),https://www.cholamandalam.com/about-us
How many years does Chola have in operation?,47,https://www.cholamandalam.com/about-us
What is the number of states and union territories where Chola has a presence?,32,https://www.cholamandalam.com/about-us
What is the number of branches Chola has?,1757,https://www.cholamandalam.com/about-us
What is the total assets under management by Chola?,₹2.27 lakh Cr,https://www.cholamandalam.com/about-us
How many happy customers does Chola have?,44.7 lakh+,https://www.cholamandalam.com/about-us
What is the growth in profit after tax (PAT) for Chola's Q3 results?,24%,https://www.cholamandalam.com/about-us
What is the amount of profit after tax (PAT) reported by Chola in its Q3 results?,"Rs 1,087 crore",https://www.cholamandalam.com/about-us
What are the names of two programs initiated by Chola for road safety and community well-being?,Raahi National Truck Eye Health and Rural Eye Health,https://www.cholamandalam.com/about-us
What is the name of the initiative where Chola partners with Women Education & Environment to transform rural sanitation?,Chola Partners with Women Education & Enviroment,https://www.cholamandalam.com/about-us
What is the name of the company?,Cholamandalam Investment and Finance Company Limited,https://www.cholamandalam.com/about-us/board-directors
In what year did the company's vision and mission start?,Not specified,https://www.cholamandalam.com/about-us/board-directors
How many states and union territories does the company have a presence in?,32,https://www.cholamandalam.com/about-us/board-directors
What is the number of branches the company has?,1757,https://www.cholamandalam.com/about-us/board-directors
What is the total assets under management for the company?,₹2.27 lakh Cr,https://www.cholamandalam.com/about-us/board-directors
How many happy customers does the company have?,44.7 lakh+,https://www.cholamandalam.com/about-us/board-directors
Who did Chola partner with to transform rural sanitation in Cuttack?,Women Education & Environment,https://www.cholamandalam.com/about-us/board-directors
What is the name of the program that aims to improve road safety and community well-being?,Raahi National Truck Eye Health and Rural Eye Health,https://www.cholamandalam.com/about-us/board-directors
What was the growth rate in profit after tax (PAT) for Q3?,24%,https://www.cholamandalam.com/about-us/board-directors
In what year did the company post a 24% growth in PAT?,2024,https://www.cholamandalam.com/about-us/board-directors
How many years has the company had excellence?,47,https://www.cholamandalam.com/about-us/heritage
In how many states and union territories does the company have presence?,32,https://www.cholamandalam.com/about-us/heritage
What is the strength of the company's workforce?,"71,260+",https://www.cholamandalam.com/about-us/heritage
How many branches does the company have?,1757,https://www.cholamandalam.com/about-us/heritage
What is the amount of assets under management by the company?,₹2.27 lakh Cr,https://www.cholamandalam.com/about-us/heritage
When was the annual report FY2024-2025 published?,"Jul 09, 2025, 19:00 PM IST",https://www.cholamandalam.com/about-us/heritage
What is the company's commitment to eye health for rural communities?,Raahi National Truck Eye Health and Rural Eye Health programs,https://www.cholamandalam.com/about-us/heritage
"What was the growth in profit after tax (PAT) for the quarter ended Dec 31, 2024?",24%,https://www.cholamandalam.com/about-us/heritage
In how many states and union territories does the company operate?,32 States & Union Territories,https://www.cholamandalam.com/about-us/our-presence
What is the total assets under management of the company?,₹2.27 lakh Cr Assets Under Management,https://www.cholamandalam.com/about-us/our-presence
How many happy customers has the company served?,44.7 lakh+ Happy Customers,https://www.cholamandalam.com/about-us/our-presence
When was the annual report FY 2024 - 2025 released?,"Jul 09, 2025, 19:00 PM IST",https://www.cholamandalam.com/about-us/our-presence
"What is the percentage growth in profit after tax (PAT) for Q3 of Dec 31, 2024?",24% growth,https://www.cholamandalam.com/about-us/our-presence
When was the postal ballot notice 2026 issued?,"10 March 2026, 05:30 PM IST",https://www.cholamandalam.com/about-us/our-presence
What is the name of the initiative that Chola partners with Women Education & Environment to transform rural sanitation in Cuttack?,Not specified,https://www.cholamandalam.com/about-us/our-presence
What is the name of the program that Chola strengthens its commitment to through road safety and community well-being?,Raahi National Truck Eye Health and Rural Eye Health programs,https://www.cholamandalam.com/about-us/our-presence
What is the name of Chola's subsidiary?,Cholamandalam Investment and Finance Company Limited,https://www.cholamandalam.com/about-us/our-subsidiaries
How many states and union territories does Chola have presence in?,32,https://www.cholamandalam.com/about-us/our-subsidiaries
What is the size of Chola's workforce?,"71,260+",https://www.cholamandalam.com/about-us/our-subsidiaries
How many branches does Chola have?,1757,https://www.cholamandalam.com/about-us/our-subsidiaries
What is the total assets under management for Chola?,₹2.27 lakh Cr,https://www.cholamandalam.com/about-us/our-subsidiaries
What is the number of happy customers Chola has?,44.7 lakh+,https://www.cholamandalam.com/about-us/our-subsidiaries
What is the percentage growth in profit after tax (PAT) for Chola's Q3 report?,24%,https://www.cholamandalam.com/about-us/our-subsidiaries
What is the amount of PAT reported by Chola in its Q3 report?,"Rs 1,087 crore",https://www.cholamandalam.com/about-us/our-subsidiaries
When was the Annual Report FY 2024 - 2025 released?,"Jul 09, 2025, 19:00 PM IST",https://www.cholamandalam.com/about-us/our-subsidiaries
What is the date of the Postal Ballot Notice 2026?,"10 March 2026, 05:30 PM IST",https://www.cholamandalam.com/about-us/our-subsidiaries
How many states and union territories does the company operate in?,32,https://www.cholamandalam.com/about-us/vision-and-mission
What is the company's assets under management?,₹2.27 lakh Cr,https://www.cholamandalam.com/about-us/vision-and-mission
What is the company's workforce size?,"71,260+ Strong Workforce",https://www.cholamandalam.com/about-us/vision-and-mission
In which year did Chola strengthen its commitment to Eye Health Of The Trucking & Rural Communities?,"February 14, 2025",https://www.cholamandalam.com/about-us/vision-and-mission
What is the name of the program that Chola has partnered with for rural sanitation in Cuttack?,Women Education & Environment,https://www.cholamandalam.com/about-us/vision-and-mission
In which year did Chola post a 24% growth in profit after tax (PAT)?,"Jan 31, 2025",https://www.cholamandalam.com/about-us/vision-and-mission
How many states and union territories does Chola operate in?,32,https://www.cholamandalam.com/contact-us
What is the number of branches for Chola?,1757,https://www.cholamandalam.com/contact-us
What is the value of assets under management for Chola?,₹2.27 lakh Cr,https://www.cholamandalam.com/contact-us
What was the growth in profit after tax (PAT) for Chola in Q3?,24%,https://www.cholamandalam.com/contact-us
What is the name of the program that focuses on eye health for trucking and rural communities?,Raahi National Truck Eye Health and Rural Eye Health programs,https://www.cholamandalam.com/contact-us
When was the annual report FY 2024 - 2025 published?,"Jul 09, 2025",https://www.cholamandalam.com/contact-us
What is the name of the initiative that partners with Women Education & Environment to transform rural sanitation in Cuttack?,Chola Partners with Women Education & Environment,https://www.cholamandalam.com/contact-us
What is the purpose of the ECS mandate?,To facilitate automatic payment processing,https://www.cholamandalam.com/contact-us/download-forms
How does an ACH mandate work?,Through electronic transactions and clearinghouses,https://www.cholamandalam.com/contact-us/download-forms
What is a Direct Debit Mandate Form?,A form authorizing recurring payments from your account,https://www.cholamandalam.com/contact-us/download-forms
What is the vision of Chola Life?,To be a trusted and innovative financial partner,https://www.cholamandalam.com/contact-us/download-forms
What is the mission of Chola Life?,To empower people through reliable insurance solutions,https://www.cholamandalam.com/contact-us/download-forms
Who serves on the Heritage Board at Chola Life?,Experienced professionals with industry expertise,https://www.cholamandalam.com/contact-us/download-forms
What are the subsidiaries of Chola Life?,Multiple entities operating under the company's umbrella,https://www.cholamandalam.com/contact-us/download-forms
Where can I find the customer service contact details at Chola Life?,On their official website and physical locations,https://www.cholamandalam.com/contact-us/download-forms
What types of forms are available for download on the Chola Life website?,"ECS, ACH, and Direct Debit Mandate Forms among others",https://www.cholamandalam.com/contact-us/download-forms
How can I partner with Chola Life?,By exploring their business opportunities and collaborations,https://www.cholamandalam.com/contact-us/download-forms
What is the vision statement of Cholamandalam Finance?,Vision & Mission,https://www.cholamandalam.com/contact-us/grievance-redressal
Who are the members of the Heritage Board at Cholamandalam Finance?,Heritage Board of Directors,https://www.cholamandalam.com/contact-us/grievance-redressal
What are the subsidiaries of Cholamandalam Finance?,Our Subsidiaries,https://www.cholamandalam.com/contact-us/grievance-redressal
Where can I find the customer service contact information for Cholamandalam Finance?,Customer Service Contact Us,https://www.cholamandalam.com/contact-us/grievance-redressal
How do I locate a Cholamandalam Finance branch?,Branch Locator,https://www.cholamandalam.com/contact-us/grievance-redressal
What documents are required to release property at Cholamandalam Finance?,Release of Property Document,https://www.cholamandalam.com/contact-us/grievance-redressal
What is the charter statement of Cholamandalam Finance?,Chola Charter,https://www.cholamandalam.com/contact-us/grievance-redressal
Where can I find news and events related to Cholamandalam Finance?,News & Events,https://www.cholamandalam.com/contact-us/grievance-redressal
What are the press releases issued by Cholamandalam Finance?,Press Releases,https://www.cholamandalam.com/contact-us/grievance-redressal
Where can I find media kit and information about Cholamandalam Finance?,Media Kit,https://www.cholamandalam.com/contact-us/grievance-redressal
What is the company's vision?,Vision & Mission,https://www.cholamandalam.com/contact-us/partner-with-us
How many years of excellence does Chola have?,47 Years of Excellence,https://www.cholamandalam.com/contact-us/partner-with-us
In which states and union territories does Chola operate?,32 States & Union Territories,https://www.cholamandalam.com/contact-us/partner-with-us
"What is the percentage growth in profit after tax for Q3, 2024?",24%,https://www.cholamandalam.com/contact-us/partner-with-us
What is the total number of employees at Chola?,"71,260+ Strong Workforce",https://www.cholamandalam.com/contact-us/partner-with-us
In which year did Chola post a 24% growth in profit after tax?,2024,https://www.cholamandalam.com/contact-us/partner-with-us
What is the name of the project where Chola partners with women education and environment?,Chola Partners with Women Education & Environment,https://www.cholamandalam.com/contact-us/partner-with-us
What type of loans does Cholamandalam Finance offer?,"Construction Equipment Loans, Car Loans, Two Wheeler Loans, Consumer & Small Enterprise Loans, Commercial Vehicle Loans, Loan Against Property, Tractor & Farm Equipment Loans, Three Wheeler Loans, SME Loans, and Secured Business Loan",https://www.cholamandalam.com/get-construction-equipment-loans
What is the vision of Cholamandalam Finance?,Not specified in the provided content,https://www.cholamandalam.com/get-construction-equipment-loans
How can I partner with Cholamandalam Finance?,By visiting the Partner With Us section on their website or contacting a Chola executive,https://www.cholamandalam.com/get-construction-equipment-loans
What are some of the products offered by Cholamandalam Finance?,"Gold Loan, Car Loans, Two Wheeler Loans, Consumer & Small Enterprise Loans, Commercial Vehicle Loans, Loan Against Property, Tractor & Farm Equipment Loans, Three Wheeler Loans, SME Loans, and Secured Business Loan",https://www.cholamandalam.com/get-construction-equipment-loans
How can I get in touch with a Cholamandalam Finance executive?,By sharing your details on their website or contacting them through their customer service,https://www.cholamandalam.com/get-construction-equipment-loans
What are the types of construction equipment loans offered by Cholamandalam Finance?,Construction Equipment Loans,https://www.cholamandalam.com/get-construction-equipment-loans
How can I download forms from Cholamandalam Finance?,By visiting their website and clicking on Download Forms,https://www.cholamandalam.com/get-construction-equipment-loans
What is the purpose of the Gaadibazaar Mobile App?,"For faster, easier, and exclusive deals",https://www.cholamandalam.com/get-construction-equipment-loans
What are some of the areas where Cholamandalam Finance has a presence?,Not specified in the provided content,https://www.cholamandalam.com/get-construction-equipment-loans
How can I get customer service from Cholamandalam Finance?,By contacting them through their customer service or visiting their website for information,https://www.cholamandalam.com/get-construction-equipment-loans
What type of loans does Chola Finance offer?,Instant Personal & Business Loans,https://www.cholamandalam.com/get-consumer-small-enterprise-loans
Who can apply for a loan at Chola Finance?,"Salaried, Self-Employed & Professionals",https://www.cholamandalam.com/get-consumer-small-enterprise-loans
What is the purpose of the Heritage Board at Chola Finance?,Not specified,https://www.cholamandalam.com/get-consumer-small-enterprise-loans
How can I partner with Chola Finance?,Partner With Us,https://www.cholamandalam.com/get-consumer-small-enterprise-loans
What is the grievance redressal process at Chola Finance?,Grievance Redressal,https://www.cholamandalam.com/get-consumer-small-enterprise-loans
Where can I find a Chola Finance branch?,Branch Locator,https://www.cholamandalam.com/get-consumer-small-enterprise-loans
How do I release my property document to Chola Finance?,Release of Property Document,https://www.cholamandalam.com/get-consumer-small-enterprise-loans
What is the vision and mission statement at Chola Finance?,Vision & Mission,https://www.cholamandalam.com/get-consumer-small-enterprise-loans
What types of vehicles can I finance through Chola One?,"Car Loans, Two Wheeler Loans, Three Wheeler Loans",https://www.cholamandalam.com/get-consumer-small-enterprise-loans
What are the types of loans offered by Chola Finance for professionals?,"Consumer & Small Enterprise Loans, Commercial Vehicle Loans, Loan Against Property, Construction Equipment Loans, Tractor & Farm Equipment Loans, SME Loans, Secured Business Loan, Loan Against Securities",https://www.cholamandalam.com/get-consumer-small-enterprise-loans
What is the primary focus of Chola Home Loans?,"Competitive Rates, Easy Eligibility & Quick Approvals on Housing Loan",https://www.cholamandalam.com/get-home-loans
Who should partner with Chola?,Customers,https://www.cholamandalam.com/get-home-loans
What can you download from the Chola website?,Forms,https://www.cholamandalam.com/get-home-loans
How do customers receive assistance from Chola?,Customer Service,https://www.cholamandalam.com/get-home-loans
Who is responsible for releasing property documents at Chola?,Branch Locator,https://www.cholamandalam.com/get-home-loans
What does the 'Chola Charter' represent?,undefined,https://www.cholamandalam.com/get-home-loans
What types of loans are offered by Chola?,"Gold Loan, Car Loans, Two Wheeler Loans, Consumer & Small Enterprise Loans, Commercial Vehicle Loans, Loan Against Property, Construction Equipment Loans, Tractor & Farm Equipment Loans, Three Wheeler Loans, SME Loans, Secured Business Loan, Loan Against Securities",https://www.cholamandalam.com/get-home-loans
What is the expected outcome after sharing details with Chola?,A Chola executive will get in touch with you shortly,https://www.cholamandalam.com/get-home-loans
What does Chola Finance offer?,"Get Loan against your Property, Quick Disbursal",https://www.cholamandalam.com/get-loan-against-property
Who is the target audience for Chola Finance's products?,Consumer & Small Enterprise Loans,https://www.cholamandalam.com/get-loan-against-property
What type of loans does Chola Finance offer for commercial vehicles?,Commercial Vehicle Loans,https://www.cholamandalam.com/get-loan-against-property
Can you get a loan against your property with Chola Finance?,"Yes, Loan Against Property",https://www.cholamandalam.com/get-loan-against-property
What is the purpose of the Grievance Redressal at Chola Finance?,To address customer complaints,https://www.cholamandalam.com/get-loan-against-property
How can you release your property documents with Chola Finance?,Release of Property Document,https://www.cholamandalam.com/get-loan-against-property
"What is Chola One, a product offered by Chola Finance?",Pay Vehicle EMI,https://www.cholamandalam.com/get-loan-against-property
What type of loans does Chola Finance offer for tractors and farm equipment?,Tractor & Farm Equipment Loans,https://www.cholamandalam.com/get-loan-against-property
How can you partner with Chola Finance?,Partner With Us,https://www.cholamandalam.com/get-loan-against-property
Who is eligible for Chola Finance's loans?,Self-Employed individuals,https://www.cholamandalam.com/get-secured-business-loans
What kind of property can be used as collateral for a loan from Chola Finance?,Not specified,https://www.cholamandalam.com/get-secured-business-loans
Can I get a car loan from Chola Finance?,"Yes, Car Loans are offered by Chola Finance",https://www.cholamandalam.com/get-secured-business-loans
Does Chola Finance provide loans for two-wheeler purchases?,"Yes, Two Wheeler Loans are available from Chola Finance",https://www.cholamandalam.com/get-secured-business-loans
Can I get a loan to purchase construction equipment from Chola Finance?,"Yes, Construction Equipment Loans are offered by Chola Finance",https://www.cholamandalam.com/get-secured-business-loans
Does Chola Finance offer loans for tractor and farm equipment purchases?,"Yes, Tractor & Farm Equipment Loans are available from Chola Finance",https://www.cholamandalam.com/get-secured-business-loans
Can I get a three-wheeler loan from Chola Finance?,"Yes, Three Wheeler Loans are offered by Chola Finance",https://www.cholamandalam.com/get-secured-business-loans
Does Chola Finance provide loans for small enterprise and consumer purposes?,"Yes, Consumer & Small Enterprise Loans are available from Chola Finance",https://www.cholamandalam.com/get-secured-business-loans
Can I get a secured business loan from Chola Finance?,"Yes, Secured Business Loan is offered by Chola Finance",https://www.cholamandalam.com/get-secured-business-loans
What is the primary focus of Cholamandalam Finance?,Secured Term Loans,https://www.cholamandalam.com/get-secured-term-loan
What types of loans does Cholamandalam Finance offer for business growth?,Loans for Business Growth,https://www.cholamandalam.com/get-secured-term-loan
What is the name of the finance company mentioned in the content?,Cholamandalam Finance,https://www.cholamandalam.com/get-secured-term-loan
What are some of the loan options provided by Cholamandalam Finance?,"Car Loans, Gold Loan, Two Wheeler Loans, Consumer & Small Enterprise Loans, Commercial Vehicle Loans, Loan Against Property, Construction Equipment Loans, Tractor & Farm Equipment Loans, Three Wheeler Loans, SME Loans, Secured Business Loan",https://www.cholamandalam.com/get-secured-term-loan
What is the name of the section where customers can find forms to download?,Download Forms,https://www.cholamandalam.com/get-secured-term-loan
How can a customer get in touch with Cholamandalam Finance after sharing their details?,A Chola executive will get in touch with you shortly,https://www.cholamandalam.com/get-secured-term-loan
What is the name of the blog section on the website?,Chola One Blogs,https://www.cholamandalam.com/get-secured-term-loan
What is the feature that allows customers to pay vehicle EMI?,Pay Vehicle EMI,https://www.cholamandalam.com/get-secured-term-loan
What is the name of the section that provides news and events about Cholamandalam Finance?,News & Events,https://www.cholamandalam.com/get-secured-term-loan
